Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,FlightNum,ArrDelay,DepDelay,Origin,Dest,Distance,depdelayC
2003,1,26,7,945,1115,US,365,-7,-5,BDL,PIT,406,0
2003,1,28,2,2025,2127,US,576,-1,-8,DCA,PIT,205,0
2003,1,3,5,1550,1716,US,108,2,-1,PIT,PVD,467,0
2003,1,1,3,1615,1811,US,1047,-17,-2,CLT,RSW,600,0
2003,1,20,1,1735,1945,US,93,-12,-5,PIT,SAN,2106,0
2003,1,23,4,2000,2148,US,1034,1,-2,CLT,SYR,603,0
2003,1,2,4,930,1030,WN,20,0,0,HRL,HOU,276,0
2003,1,2,4,2025,2225,WN,1733,62,64,PDX,BOI,344,1
2003,1,2,4,610,725,WN,429,-3,0,PDX,RNO,444,0
2003,1,2,4,1435,1805,WN,256,8,0,PHX,MCI,1044,0
2003,1,3,5,1915,1950,WN,360,0,10,CLE,BNA,448,0
2003,1,3,5,825,930,WN,1919,-6,0,STL,MDW,251,0
2003,1,5,7,1440,1525,WN,2238,2,7,BNA,BHM,177,0
2003,1,5,7,810,920,WN,319,-2,5,ONT,SJC,333,0
2003,1,5,7,920,1000,WN,604,-13,0,TPA,MSY,487,0
2003,1,6,1,850,1010,WN,671,4,0,BNA,MDW,395,0
2003,1,6,1,2010,2015,WN,1922,47,46,CMH,MDW,284,1
2003,1,6,1,1855,2000,WN,1733,-4,0,GEG,PDX,279,0
2003,1,6,1,1105,1335,WN,483,24,28,MCO,BUF,1011,1
2003,1,7,2,1710,1915,WN,602,13,0,LAS,PHX,256,0
2003,1,7,2,1725,1840,WN,2032,-6,0,LAS,RNO,345,0
2003,1,7,2,1810,2100,WN,797,-5,0,LAX,ELP,714,0
2003,1,8,3,1835,1940,WN,1834,20,20,PHX,ABQ,328,1
2003,1,8,3,730,1000,WN,702,-16,0,STL,PHX,1262,0
2003,1,9,4,2105,2150,WN,2184,-5,0,HOU,AUS,148,0
2003,1,9,4,1630,1745,WN,797,0,10,OAK,LAX,337,0
2003,1,9,4,1325,1445,WN,1859,2,0,SMF,LAX,373,0
2003,1,10,5,1330,1435,WN,1578,-12,0,ABQ,LAX,677,0
2003,1,10,5,1305,1335,WN,515,-2,0,JAX,BNA,484,0
2003,1,10,5,910,1055,WN,1444,-7,6,MDW,LIT,544,0
2003,1,10,5,1135,1345,WN,1212,-10,0,OAK,SEA,671,0
2003,1,10,5,2020,2050,WN,161,-2,0,RDU,BNA,443,0
2003,1,11,6,1120,1300,WN,461,-15,0,MCI,LAX,1363,0
2003,1,11,6,1710,1910,WN,2056,-14,0,OAK,SEA,671,0
2003,1,11,6,1420,1505,WN,2450,0,0,SAT,HOU,192,0
2003,1,11,6,1135,1310,WN,2501,-8,0,SLC,PHX,507,0
2003,1,12,7,1510,1705,WN,1809,25,35,OAK,SEA,671,1
2003,1,13,1,1900,2015,WN,216,-15,0,LAX,OAK,337,0
2003,1,13,1,1115,1240,WN,2615,-12,0,SLC,ABQ,493,0
2003,1,13,1,1625,1835,WN,2633,-27,0,STL,HOU,687,0
2003,1,14,2,1930,2315,WN,1850,-23,0,MCI,PVD,1234,0
2003,1,14,2,830,1135,WN,2548,-5,0,PHX,AUS,872,0
2003,1,14,2,950,1550,WN,746,-15,0,PHX,RDU,1891,0
2003,1,15,3,2200,30,WN,2658,-10,0,BNA,BWI,588,0
2003,1,16,4,910,1110,WN,2626,8,0,BWI,JAX,663,0
2003,1,16,4,1950,2210,WN,2174,0,0,ELP,AUS,528,0
2003,1,16,4,1135,1235,WN,1118,-5,0,PHX,SJC,621,0
2003,1,16,4,1205,1730,WN,382,-18,0,SJC,MCI,1479,0
2003,1,16,4,2025,2140,WN,795,-10,0,SNA,SJC,342,0
2003,1,17,5,1450,1505,WN,1372,-7,0,MAF,LAS,796,0
2003,1,18,6,1415,1505,WN,1254,-5,0,MCI,TUL,223,0
2003,1,19,7,1235,1330,WN,2634,-22,0,ABQ,SAN,628,0
2003,1,20,1,925,1120,WN,554,-7,0,BHM,HOU,570,0
2003,1,20,1,2105,2210,WN,1024,8,0,BWI,ALB,288,0
2003,1,20,1,1520,1630,WN,1191,2,0,ISP,BWI,220,0
2003,1,20,1,745,1435,WN,1002,-8,0,LAX,IND,1814,0
2003,1,21,2,1035,1310,WN,2405,-11,0,ABQ,DAL,580,0
2003,1,21,2,1110,1210,WN,1119,-4,0,FLL,TPA,197,0
2003,1,21,2,630,830,WN,554,-2,0,MDW,SDF,271,0
2003,1,21,2,1235,1335,WN,1275,3,5,RNO,SJC,188,0
2003,1,21,2,750,835,WN,2288,-4,0,TPA,MSY,487,0
2003,1,22,3,1020,1110,WN,12,-15,0,DAL,ABQ,580,0
2003,1,22,3,805,935,WN,720,-5,0,LAS,OAK,407,0
2003,1,22,3,1415,1730,WN,2149,7,8,STL,TPA,869,0
2003,1,23,4,730,835,WN,2441,-7,0,LAS,LAX,236,0
2003,1,23,4,1910,1910,WN,1793,3,0,LBB,ABQ,289,0
2003,1,24,5,1630,1635,WN,544,0,5,DTW,MDW,229,0
2003,1,24,5,1810,1905,WN,902,-5,0,ELP,ABQ,223,0
2003,1,24,5,2115,2210,WN,1793,11,15,PHX,SJC,621,0
2003,1,24,5,1055,1250,WN,185,-4,0,RNO,SEA,564,0
2003,1,25,6,1235,1355,WN,2662,-7,0,HOU,LAS,1235,0
2003,1,26,7,1450,1600,WN,1575,-5,0,BWI,BHM,682,0
2003,1,27,1,730,820,WN,343,0,15,CLE,STL,487,0
2003,1,27,1,2000,2350,WN,1109,-5,0,LAS,AMA,758,0
2003,1,27,1,1705,1810,WN,2306,0,0,STL,MCI,237,0
2003,1,28,2,2125,2225,WN,1604,0,0,BWI,RDU,255,0
2003,1,28,2,2000,2105,WN,2318,143,148,MDW,STL,251,1
2003,1,29,3,1335,1535,WN,147,-14,0,SEA,OAK,671,0
2003,1,30,4,1100,1300,WN,2426,12,0,ABQ,PDX,1111,0
2003,1,30,4,1510,1630,WN,2132,-2,0,OMA,MDW,423,0
2003,1,30,4,1325,1535,WN,2044,18,20,SAN,TUS,367,1
2003,1,31,5,2120,2235,WN,464,-10,0,DAL,MSY,437,0
2003,1,31,5,2100,2205,WN,2630,-9,0,LAS,LAX,236,0
2003,1,31,5,1910,2055,WN,1947,5,0,PHX,PDX,1009,0
2003,1,31,5,2010,2100,WN,1429,-2,0,RNO,OAK,180,0
2003,1,31,5,1100,1320,WN,2517,-16,-2,SEA,LAS,866,0
2003,1,31,5,1950,2105,WN,1437,-6,0,SJC,LAX,308,0
2003,1,31,5,2205,45,WN,2082,12,15,SJC,PHX,621,0
2003,1,17,5,1000,1100,MQ,4560,8,18,RDU,DCA,227,1
2003,1,30,4,1050,1250,MQ,4566,8,-9,BOS,RDU,612,0
2003,1,24,5,1600,1735,MQ,4652,-18,-12,BOS,DCA,399,0
2003,1,7,2,550,630,MQ,4683,24,-1,PWM,BOS,95,0
2003,1,31,5,1935,2135,MQ,4772,72,69,BOS,RDU,612,1
2003,1,23,4,2210,2310,MQ,4779,-2,-7,JFK,ALB,145,0
2003,1,18,6,1750,1905,MQ,4805,-7,6,BOS,JFK,187,0
2003,1,19,7,1640,1810,MQ,4874,10,-4,RDU,JFK,426,0
2003,1,11,6,1905,1959,MQ,4884,22,24,PVD,JFK,144,1
2003,1,31,5,1240,1420,NW,231,-13,-7,DCA,DTW,405,0
2003,1,4,6,810,1545,NW,340,-8,2,SFO,DTW,2079,0
2003,1,28,2,920,1125,NW,345,-7,-4,LGA,DTW,501,0
2003,1,30,4,1925,2013,NW,477,-8,-8,MBS,DTW,98,0
2003,1,4,6,910,1003,NW,501,-1,-9,IND,MSP,503,0
2003,1,15,3,715,1150,NW,570,-23,-4,MSP,MIA,1501,0
2003,1,11,6,1017,1415,NW,580,-10,0,MSP,MCO,1310,0
2003,1,7,2,905,1416,NW,592,-16,-7,PDX,MSP,1426,0
2003,1,30,4,904,1229,NW,630,-13,-8,MEM,LGA,963,0
2003,1,5,7,1635,1910,NW,645,6,-10,RSW,MSP,1416,0
2003,1,7,2,921,1055,NW,783,-37,-2,MSP,LAS,1300,0
2003,1,13,1,1240,1413,NW,831,-15,-9,MEM,DFW,432,0
2003,1,7,2,1000,1208,NW,880,-37,-3,LGA,MEM,963,0
2003,1,5,7,935,1231,NW,893,-11,-3,PBI,DTW,1087,0
2003,1,4,6,1630,1913,NW,974,-4,-11,AUS,MSP,1042,0
2003,1,16,4,1918,2028,NW,996,-6,3,DTW,DEN,1123,0
2003,1,26,7,1400,1527,NW,1043,19,0,ORD,MSP,334,0
2003,1,5,7,1717,1824,NW,1126,-3,3,DTW,BUF,240,0
2003,1,15,3,644,804,NW,1127,-21,-8,BUF,DTW,240,0
2003,1,29,3,1900,2009,NW,1273,-4,-10,CMH,MSP,627,0
2003,1,3,5,1303,1639,NW,1276,24,16,MSP,PVD,1116,1
2003,1,31,5,1513,1800,NW,1296,-12,-3,MSP,CVG,596,0
2003,1,23,4,1906,1953,NW,1409,9,13,DTW,STL,440,0
2003,1,13,1,722,1051,NW,1428,-21,-5,MSP,ATL,906,0
2003,1,27,1,1518,1656,NW,1465,-11,4,MSP,STL,449,0
2003,1,27,1,640,828,NW,1509,-14,-8,DCA,MSP,931,0
2003,1,25,6,850,959,NW,1527,-15,-10,CLE,MSP,622,0
2003,1,31,5,1110,1229,NW,1529,-3,4,BIS,MSP,386,0
2003,1,22,3,835,1148,NW,1596,2,-1,MEM,FLL,851,0
2003,1,24,5,1126,1215,NW,1695,4,-3,MSP,LSE,120,0
2003,1,23,4,1530,1547,NW,1785,6,20,DTW,MSN,312,1
2003,1,20,1,917,1140,NW,1787,-9,-5,DTW,SAT,1215,0
2003,1,21,2,2120,2357,NW,1810,-26,-10,MEM,JAX,576,0
2003,1,27,1,630,738,NW,1817,-14,-2,BNA,MEM,200,0
2003,1,9,4,600,818,NW,1821,4,3,BOS,DTW,632,0
2003,1,28,2,1655,1937,NW,1848,-19,-6,SAT,MSP,1097,0
2003,1,16,4,1915,2006,NW,1871,-15,-5,DTW,MBS,98,0
2003,1,1,3,1910,2007,NW,1991,-24,-13,JAN,MEM,189,0
2003,1,2,4,925,1044,OO,3713,31,23,DFW,ICT,328,1
2003,1,2,4,840,1202,OO,3914,10,0,SLC,MCI,919,0
2003,1,3,5,700,800,OO,3472,5,13,SUN,SLC,223,0
2003,1,4,6,530,728,OO,3641,0,0,EKO,SLC,200,0
2003,1,4,6,1340,1531,OO,3797,0,0,DFW,PNS,604,0
2003,1,6,1,2010,2120,OO,3725,0,0,BZN,SLC,347,0
2003,1,7,2,720,850,OO,3724,465,500,MEM,DFW,432,1
2003,1,7,2,1830,1902,OO,3870,46,51,SLC,PSC,521,1
2003,1,7,2,1550,1631,OO,6522,0,0,SFO,MOD,78,0
2003,1,9,4,1310,1347,OO,6106,0,0,LAX,ONT,47,0
2003,1,9,4,855,1004,OO,6223,0,0,SBP,LAX,155,0
2003,1,10,5,630,745,OO,3635,0,0,SGU,SLC,269,0
2003,1,10,5,1325,1441,OO,6948,4,11,SJC,LAX,308,0
2003,1,11,6,1600,1634,OO,6108,0,0,LAX,ONT,47,0
2003,1,12,7,1110,1205,OO,6210,0,4,SBA,LAX,89,0
2003,1,12,7,1400,1442,OO,6657,3,6,PDX,EUG,106,0
2003,1,13,1,2150,2236,OO,6197,0,1,LAX,SAN,109,0
2003,1,13,1,1750,1905,OO,6467,0,0,ACV,SFO,250,0
2003,1,14,2,1955,2059,OO,6233,0,2,SBP,LAX,155,0
2003,1,16,4,1550,1742,OO,3926,0,0,MSP,SLC,991,0
2003,1,16,4,1115,1200,OO,6532,0,0,SFO,MRY,77,0
2003,1,16,4,1110,1218,OO,6584,0,0,SFO,SBP,191,0
2003,1,18,6,1315,1458,OO,3795,0,0,DFW,BHM,597,0
2003,1,18,6,2030,2115,OO,6195,0,0,LAX,SAN,109,0
2003,1,18,6,1548,1705,OO,6922,0,0,LAX,OAK,337,0
2003,1,19,7,1840,1920,OO,3928,20,15,SLC,SMF,532,0
2003,1,19,7,1740,1905,OO,6739,14,1,EUG,SFO,451,0
2003,1,20,1,1035,1201,OO,6065,0,0,MRY,LAX,267,0
2003,1,23,4,1803,1920,OO,6073,5,0,LAX,MRY,267,0
2003,1,25,6,1000,1040,OO,6424,0,0,SFO,SMF,86,0
2003,1,27,1,1525,1612,OO,6695,0,0,SEA,PDX,129,0
2003,1,29,3,1035,1154,OO,6461,32,10,ACV,SFO,250,0
2003,1,29,3,935,1035,OO,6679,5,14,SEA,GEG,224,0
2003,1,30,4,919,957,OO,6531,0,0,MRY,SFO,77,0
2003,1,30,4,805,941,OO,6610,0,3,FAT,LAS,258,0
2003,1,31,5,735,838,OO,6222,0,0,LAX,SBP,155,0
2003,1,15,3,705,825,XE,2239,-5,-12,ABE,CLE,339,0
2003,1,31,5,1130,1300,XE,2136,-17,-5,CLE,RDU,416,0
2003,1,16,4,1845,1947,XE,2937,2,-3,CRP,IAH,201,0
2003,1,22,3,1359,1507,XE,2161,-16,-6,DCA,EWR,199,0
2003,1,11,6,655,840,XE,2665,-12,-5,DTW,EWR,487,0
2003,1,15,3,1150,1215,XE,2714,-6,-5,EFD,IAH,28,0
2003,1,19,7,1440,1552,XE,2096,-9,-1,EWR,BTV,266,0
2003,1,3,5,710,855,XE,3419,54,-1,EWR,CLT,529,0
2003,1,1,3,1740,1935,XE,4041,-10,0,EWR,CLT,529,0
2003,1,2,4,1155,1325,XE,3493,-10,-10,EWR,PIT,319,0
2003,1,31,5,1710,1808,XE,2224,28,25,GRR,CLE,214,1
2003,1,6,1,845,957,XE,2446,66,66,HRL,IAH,295,1
2003,1,20,1,1425,1604,XE,2888,-6,0,IAH,AMA,519,0
2003,1,16,4,935,1115,XE,2950,4,-5,IAH,DRO,869,0
2003,1,8,3,1844,2239,XE,2791,6,6,IAH,IAD,1190,0
2003,1,26,7,1140,1304,XE,2449,26,0,IAH,LBB,458,0
2003,1,9,4,1904,2002,XE,2572,12,0,IAH,LFT,201,0
2003,1,4,6,950,1203,XE,3966,-5,-1,IAH,OMA,781,0
2003,1,13,1,1655,1800,XE,2316,-11,-4,IND,CLE,261,0
2003,1,18,6,1340,1506,XE,2646,-8,-3,LBB,IAH,458,0
2003,1,18,6,1445,1700,XE,2236,-5,-5,MDW,CLE,307,0
2003,1,16,4,1015,1205,XE,2069,-2,-3,MHT,CLE,544,0
2003,1,9,4,1755,1945,XE,2269,25,17,MHT,CLE,544,1
2003,1,23,4,1810,1940,XE,2177,-2,-2,MOB,IAH,427,0
2003,1,3,5,1400,1525,XE,3495,80,44,PIT,EWR,319,1
2003,1,2,4,1310,1448,XE,3172,-5,-3,XNA,IAH,438,0
2003,1,22,3,835,1121,TZ,273,38,25,MDW,SFO,1855,1
2003,1,31,5,620,1245,TZ,336,16,0,MDW,SJU,2057,0
2003,1,30,4,1425,1728,TZ,337,5,-9,SJU,MDW,2057,0
2003,1,6,1,1445,1757,TZ,382,19,-5,DEN,MDW,895,0
2003,1,11,6,1540,1754,TZ,465,-16,-9,IND,SRQ,876,0
2003,1,14,2,640,915,TZ,477,5,-5,IND,FLL,1005,0
2003,1,14,2,1240,1830,TZ,794,-7,6,LAX,MDW,1750,0
2003,1,13,1,840,1110,TZ,863,4,-2,MDW,SJC,1838,0
2003,1,1,3,1355,2110,UA,42,-16,-2,OGG,LAX,2486,0
2003,1,9,4,1650,2044,UA,63,-8,-3,LAX,HNL,2556,0
2003,1,11,6,850,1707,UA,90,-10,-2,SFO,PHL,2521,0
2003,1,2,4,1700,1843,UA,105,-14,2,TPA,ORD,1012,0
2003,1,16,4,1000,1602,UA,160,-12,-4,SFO,ORD,1846,0
2003,1,4,6,1320,2146,UA,170,-7,-4,SFO,BOS,2704,0
2003,1,23,4,1710,2008,UA,195,-18,-5,IAD,SJC,2400,0
2003,1,13,1,800,1600,UA,208,-7,-8,SJC,IAD,2400,0
2003,1,24,5,800,932,UA,245,-5,-2,ORD,DEN,888,0
2003,1,26,7,1655,2014,UA,264,9,-3,DEN,ORD,888,0
2003,1,7,2,945,1230,UA,362,-6,-6,SFO,SLC,599,0
2003,1,20,1,1430,1740,UA,373,-6,-4,ONT,DEN,819,0
2003,1,31,5,855,921,UA,393,19,-2,CMH,ORD,296,0
2003,1,28,2,730,1305,UA,400,-25,-2,DEN,LGA,1619,0
2003,1,24,5,1430,1543,UA,437,-11,-4,DEN,ABQ,349,0
2003,1,6,1,1945,2205,UA,473,-30,3,ORD,SNA,1726,0
2003,1,12,7,1550,2015,UA,490,26,8,PHX,ORD,1440,0
2003,1,20,1,1315,1623,UA,546,-20,-1,ORD,PVD,849,0
2003,1,23,4,1215,1355,UA,557,-21,-7,BOS,ORD,867,0
2003,1,14,2,700,945,UA,602,-13,-4,ORD,DCA,612,0
2003,1,7,2,1900,2150,UA,628,-17,-3,ORD,DCA,612,0
2003,1,9,4,1118,1705,UA,694,-18,-1,PDX,ORD,1739,0
2003,1,24,5,1425,1733,UA,710,-13,-4,GEG,DEN,836,0
2003,1,17,5,1945,2217,UA,733,-2,-4,ORD,IAH,925,0
2003,1,17,5,2010,2134,UA,785,-3,-5,SFO,SAN,447,0
2003,1,13,1,845,959,UA,794,-17,-6,BUR,SFO,326,0
2003,1,6,1,933,1055,UA,805,-7,-7,LAX,SFO,337,0
2003,1,15,3,655,906,UA,834,-5,-6,ORD,DTW,235,0
2003,1,5,7,955,1059,UA,851,-18,-1,IAD,ORD,589,0
2003,1,16,4,1000,1236,UA,857,-14,-1,ORD,SFO,1846,0
2003,1,26,7,1350,1557,UA,918,-9,-3,TPA,IAD,810,0
2003,1,29,3,1800,1920,UA,940,-14,-5,MSP,ORD,334,0
2003,1,1,3,1750,2017,UA,947,-20,1,IAD,LAX,2288,0
2003,1,10,5,1545,1724,DL,289,-22,-5,DFW,PHX,868,0
2003,1,10,5,905,1130,DL,401,32,10,CVG,RSW,879,0
2003,1,30,4,1410,1636,DL,443,56,30,EWR,ATL,745,1
2003,1,3,5,1035,1322,DL,465,5,-3,LAX,SLC,590,0
2003,1,3,5,920,1354,DL,482,8,-1,DEN,CVG,1069,0
2003,1,19,7,1225,1512,DL,499,-10,-3,PVD,ATL,903,0
2003,1,17,5,950,1208,DL,503,-5,-1,PHL,ATL,665,0
2003,1,16,4,805,954,DL,585,10,-1,DCA,ATL,547,0
2003,1,14,2,1930,2048,DL,587,3,-5,JAX,ATL,270,0
2003,1,10,5,1425,1459,DL,628,-7,-13,OKC,TUL,111,0
2003,1,7,2,1610,1714,DL,639,-24,0,CVG,DEN,1069,0
2003,1,13,1,1930,2130,DL,644,-15,-1,CVG,BDL,661,0
2003,1,13,1,750,1045,DL,658,-19,-4,FLL,LGA,1076,0
2003,1,15,3,830,1009,DL,690,-9,-4,ATL,DCA,547,0
2003,1,17,5,1655,1944,DL,782,-11,-4,SNA,SLC,588,0
2003,1,4,6,1235,1453,DL,811,-16,-5,CVG,RSW,879,0
2003,1,24,5,2010,2220,DL,875,60,90,BUF,ATL,712,1
2003,1,11,6,1255,1443,DL,1017,-2,-1,ATL,FLL,581,0
2003,1,8,3,1725,1835,DL,1175,-2,-2,ATL,CHS,259,0
2003,1,17,5,1355,2041,DL,1196,9,7,LAS,ATL,1747,0
2003,1,19,7,1550,1817,DL,1270,16,-5,RSW,CVG,879,0
2003,1,15,3,1500,1733,DL,1273,-3,-3,LGA,ATL,761,0
2003,1,30,4,1250,1410,DL,1291,6,10,CVG,DCA,411,0
2003,1,17,5,1425,1530,DL,1292,-10,-3,ATL,CHS,259,0
2003,1,30,4,1920,2155,DL,1293,-21,-4,CVG,FLL,932,0
2003,1,13,1,835,939,DL,1404,-4,3,ATL,SAV,215,0
2003,1,12,7,1330,1539,DL,1446,-8,-1,ATL,LGA,761,0
2003,1,11,6,2200,2325,DL,1452,-19,-15,SLC,HLN,402,0
2003,1,15,3,1905,2029,DL,1455,-9,0,ATL,MCO,403,0
2003,1,3,5,1930,2225,DL,1474,38,32,MCI,ATL,692,1
2003,1,23,4,1840,2040,DL,1488,11,14,HSV,ATL,151,0
2003,1,13,1,1435,1742,DL,1562,-17,-3,DFW,ATL,732,0
2003,1,12,7,2015,2226,DL,1592,-2,-2,ATL,BDL,859,0
2003,1,18,6,655,903,DL,1625,2,0,FLL,DFW,1119,0
2003,1,20,1,1720,1920,DL,1684,-5,4,FLL,ATL,581,0
2003,1,20,1,1710,2023,DL,1719,20,29,JFK,DFW,1391,1
2003,1,8,3,830,932,DL,1744,-2,1,DCA,LGA,214,0
2003,1,26,7,1930,2035,DL,1766,21,2,DCA,LGA,214,0
2003,1,31,5,1855,2000,DL,1783,-9,-6,AUS,DFW,190,0
2003,1,23,4,1720,1945,DL,1803,-16,1,PHL,ATL,665,0
2003,1,11,6,1110,1806,DL,1970,-3,7,SAN,CVG,1865,0
2003,1,30,4,1445,1655,DL,1997,17,30,JFK,CVG,589,1
2003,1,17,5,1850,2007,DL,2003,-3,-1,CVG,GSO,330,0
2003,1,19,7,1610,1905,DL,2081,-24,-12,MHT,ATL,952,0
2003,1,31,5,1920,2103,DL,2138,-1,-3,CVG,SYR,527,0
2003,1,29,3,1620,1955,DL,2144,-8,-1,SLC,DFW,988,0
2003,1,4,6,1750,2026,DL,2380,-8,-5,MCO,EWR,938,0
2003,1,20,1,630,1011,DL,2439,34,14,BOS,RSW,1249,0
2003,1,16,4,1345,1402,EV,4131,8,0,ATL,PFN,247,0
2003,1,1,3,2020,2111,EV,4158,-2,0,ATL,TYS,152,0
2003,1,14,2,1305,1320,EV,4200,6,-3,ATL,EVV,350,0
2003,1,12,7,1415,1636,EV,4200,-9,-5,EVV,ATL,350,0
2003,1,25,6,1815,1920,EV,4210,-10,-3,ATL,AGS,143,0
2003,1,2,4,1540,1644,EV,4276,10,10,ATL,AVL,164,0
2003,1,23,4,605,820,EV,4302,-6,0,VPS,ATL,264,0
2003,1,21,2,1450,1632,EV,4315,-7,0,ATL,ROA,357,0
2003,1,31,5,1040,1158,EV,4385,-6,-10,CRW,ATL,363,0
2003,1,29,3,2220,2236,EV,4395,63,0,ATL,AEX,500,0
2003,1,24,5,1119,1220,EV,4429,2,0,LBB,DFW,282,0
2003,1,25,6,945,1145,EV,4441,60,67,PFN,ATL,247,1
2003,1,6,1,1245,1430,EV,4458,-2,0,CAE,DFW,922,0
2003,1,15,3,1835,2115,EV,4546,3,-8,ISP,ATL,795,0
2003,1,4,6,1210,1416,EV,4616,-16,-5,GRR,ATL,640,0
2003,1,1,3,1540,1637,EV,4734,-4,0,DFW,AUS,190,0
2003,1,28,2,1735,2038,EV,4759,-3,0,DSM,ATL,743,0
2003,1,14,2,1142,1259,EV,4761,-2,-5,MYR,ATL,317,0
2003,1,3,5,625,755,EV,4764,5,-5,JAN,DFW,408,0
2003,1,28,2,1721,1835,EV,4808,-7,-1,TUL,DFW,237,0
2003,1,21,2,925,1010,EV,4953,-10,0,SDF,CVG,83,0
2003,1,29,3,900,1030,EV,4975,27,11,CVG,CHA,278,0
2003,1,1,3,1520,1750,FL,367,-6,-10,LGA,ATL,761,0
2003,1,4,6,1750,1920,FL,112,-14,-10,ATL,MCO,403,0
2003,1,7,2,820,950,FL,706,5,-10,ATL,DAY,432,0
2003,1,11,6,2045,2217,FL,463,-9,-6,BOS,BWI,370,0
2003,1,11,6,710,845,FL,120,0,0,TPA,ATL,406,0
2003,1,12,7,1955,2149,FL,465,-12,-5,BWI,ATL,576,0
